위반구분,위반일시,위반장소,과태료부과일자,데이터기준일자
주정차 금지구역,2024-11-01 07:11,칠곡시외버스하차장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:07,대구역 오페라더블유2,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:41,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:26,오페라코오롱하늘채 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:16,센트럴파크대현 정문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 17:14,북구청역 푸르지오,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:37,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:09,칠성초등학교 진입로,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:33,NC아울렛 앞 사거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:13,NC아울렛 앞 사거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 10:43,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:40,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:37,칠곡초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:08,오페라스위첸 철길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:03,동천동회전교차로1,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:34,NC아울렛 앞 사거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 10:00,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 08:09,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:38,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:32,오페라코오롱하늘채 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 13:31,무지개공영주차장 부근,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 14:46,칠성초등학교 진입로,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 07:05,침산 화인탑펠리스,2024-11-21,2025-01-01
주정차 금지구역,2024-11-01 08:58,칠성초등학교 진입로,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 14:39,구암동 농협중앙회,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 10:09,북부초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 13:49,대학로13길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 10:32,연경 동화아이위시 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:21,운암고등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 17:12,동천동 참약국,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 10:08,힐스테이트대구역 후문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:47,대구역 오페라더블유2,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:27,운암초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 13:06,무지개공영주차장 부근,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 10:06,동천동 참약국,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 07:03,칠성동 삼성아파트 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 17:05,연경 동화아이위시 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:01,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:58,노원한신더휴 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:05,동변공원 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:21,운암초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:03,칠성시장교통섬,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:34,대구역 유림노르웨이숲,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:57,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 17:14,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:33,새동산산부인과,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 08:03,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:36,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 10:00,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:36,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:03,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 08:41,운암고등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 14:36,오페라스위첸 철길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 08:31,오페라스위첸 철길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 08:41,운암고등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 10:47,복현초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:43,칠성초등학교 진입로,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 11:10,칠성시장 화재(소방),2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:02,KB국민은행침산지점,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 08:04,동변공원 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:33,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:38,농협침산지점앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 08:16,오페라 클래시아,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:41,칠성시장교통섬,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:04,동아아울렛 뒷편,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:21,관천초등학교,2024-11-04,2025-01-01
